x,y,z
1672 ,1671 ,-11 
1672 ,1671 ,-11 
1672 ,1671 ,-11 
1696 ,1693 ,56 
1696 ,1693 ,56 
1696 ,1693 ,56 
1696 ,1693 ,56 
1696 ,1693 ,56 
1696 ,1693 ,56 
1696 ,1693 ,56 
1696 ,1693 ,56 
1821 ,1882 ,7 
1821 ,1882 ,7 
1821 ,1882 ,7 
1821 ,1882 ,7 
1821 ,1882 ,7 
1821 ,1882 ,7 
1821 ,1882 ,7 
1821 ,1882 ,7 
1821 ,1882 ,7 
1723 ,1729 ,45 
1723 ,1729 ,45 
1723 ,1729 ,45 
1723 ,1729 ,45 
1723 ,1729 ,45 
1723 ,1729 ,45 
1723 ,1729 ,45 
1723 ,1729 ,45 
1744 ,1780 ,28 
1744 ,1780 ,28 
1744 ,1780 ,28 
1744 ,1780 ,28 
1744 ,1780 ,28 
1744 ,1780 ,28 
1744 ,1780 ,28 
1744 ,1780 ,28 
1747 ,1750 ,11 
1747 ,1750 ,11 
1747 ,1750 ,11 
1747 ,1750 ,11 
1747 ,1750 ,11 
1747 ,1750 ,11 
1747 ,1750 ,11 
1747 ,1750 ,11 
1747 ,1750 ,11 
1687 ,1752 ,-12 
1687 ,1752 ,-12 
1687 ,1752 ,-12 
1687 ,1752 ,-12 
1687 ,1752 ,-12 
1687 ,1752 ,-12 
1687 ,1752 ,-12 
1687 ,1752 ,-12 
1653 ,1659 ,57 
1653 ,1659 ,57 
1653 ,1659 ,57 
1653 ,1659 ,57 
1653 ,1659 ,57 
1653 ,1659 ,57 
1653 ,1659 ,57 
1653 ,1659 ,57 
1653 ,1659 ,57 
1657 ,1700 ,48 
1657 ,1700 ,48 
1657 ,1700 ,48 
1657 ,1700 ,48 
1657 ,1700 ,48 
1657 ,1700 ,48 
1657 ,1700 ,48 
1657 ,1700 ,48 
1688 ,1703 ,39 
1688 ,1703 ,39 
1688 ,1703 ,39 
1688 ,1703 ,39 
1688 ,1703 ,39 
1688 ,1703 ,39 
1688 ,1703 ,39 
1688 ,1703 ,39 
1745 ,1807 ,-10 
1745 ,1807 ,-10 
1745 ,1807 ,-10 
1745 ,1807 ,-10 
1745 ,1807 ,-10 
1745 ,1807 ,-10 
1745 ,1807 ,-10 
1745 ,1807 ,-10 
1745 ,1807 ,-10 
1694 ,1736 ,50 
1694 ,1736 ,50 
1694 ,1736 ,50 
1694 ,1736 ,50 
1694 ,1736 ,50 
1694 ,1736 ,50 
1694 ,1736 ,50 
1694 ,1736 ,50 
1637 ,1644 ,57 
1637 ,1644 ,57 
1637 ,1644 ,57 
1637 ,1644 ,57 
1637 ,1644 ,57 
1637 ,1644 ,57 
1637 ,1644 ,57 
1637 ,1644 ,57 
1637 ,1644 ,57 
1659 ,1709 ,62 
1659 ,1709 ,62 
1659 ,1709 ,62 
1659 ,1709 ,62 
1659 ,1709 ,62 
1659 ,1709 ,62 
1659 ,1709 ,62 
1659 ,1709 ,62 
1698 ,1732 ,50 
1698 ,1732 ,50 
1698 ,1732 ,50 
1698 ,1732 ,50 
1698 ,1732 ,50 
1698 ,1732 ,50 
1698 ,1732 ,50 
1698 ,1732 ,50 
1741 ,1764 ,22 
1741 ,1764 ,22 
1741 ,1764 ,22 
1741 ,1764 ,22 
1741 ,1764 ,22 
1741 ,1764 ,22 
1741 ,1764 ,22 
1741 ,1764 ,22 
1741 ,1764 ,22 
1672 ,1680 ,-6 
1672 ,1680 ,-6 
1672 ,1680 ,-6 
1672 ,1680 ,-6 
1672 ,1680 ,-6 
1672 ,1680 ,-6 
1672 ,1680 ,-6 
1672 ,1680 ,-6 
1690 ,1683 ,2 
1690 ,1683 ,2 
1690 ,1683 ,2 
1690 ,1683 ,2 
1690 ,1683 ,2 
1690 ,1683 ,2 
1690 ,1683 ,2 
1690 ,1683 ,2 
1690 ,1683 ,2 
1697 ,1713 ,-7 
1697 ,1713 ,-7 
1697 ,1713 ,-7 
1697 ,1713 ,-7 
1697 ,1713 ,-7 
1697 ,1713 ,-7 
1697 ,1713 ,-7 
1697 ,1713 ,-7 
1669 ,1669 ,55 
1669 ,1669 ,55 
1669 ,1669 ,55 
1669 ,1669 ,55 
1669 ,1669 ,55 
1669 ,1669 ,55 
1669 ,1669 ,55 
1669 ,1669 ,55 
1765 ,1787 ,-37 
1765 ,1787 ,-37 
1765 ,1787 ,-37 
1765 ,1787 ,-37 
1765 ,1787 ,-37 
1765 ,1787 ,-37 
1765 ,1787 ,-37 
1765 ,1787 ,-37 
1765 ,1787 ,-37 
1674 ,1709 ,65 
1674 ,1709 ,65 
1674 ,1709 ,65 
1674 ,1709 ,65 
1674 ,1709 ,65 
1674 ,1709 ,65 
1674 ,1709 ,65 
1674 ,1709 ,65 
1675 ,1718 ,78 
1675 ,1718 ,78 
1675 ,1718 ,78 
1675 ,1718 ,78 
1675 ,1718 ,78 
1675 ,1718 ,78 
1675 ,1718 ,78 
1675 ,1718 ,78 
1675 ,1718 ,78 
1706 ,1699 ,16 
1706 ,1699 ,16 
1706 ,1699 ,16 
1706 ,1699 ,16 
1706 ,1699 ,16 
1706 ,1699 ,16 
1706 ,1699 ,16 
1706 ,1699 ,16 
1719 ,1721 ,-19 
1719 ,1721 ,-19 
1719 ,1721 ,-19 
1719 ,1721 ,-19 
1719 ,1721 ,-19 
1719 ,1721 ,-19 
1719 ,1721 ,-19 
1719 ,1721 ,-19 
1743 ,1771 ,-23 
1743 ,1771 ,-23 
1743 ,1771 ,-23 
1743 ,1771 ,-23 
1743 ,1771 ,-23 
1743 ,1771 ,-23 
1743 ,1771 ,-23 
1743 ,1771 ,-23 
1743 ,1771 ,-23 
1699 ,1701 ,0 
1699 ,1701 ,0 
1699 ,1701 ,0 
1699 ,1701 ,0 
1699 ,1701 ,0 
1699 ,1701 ,0 
1699 ,1701 ,0 
1699 ,1701 ,0 
1743 ,1773 ,4 
1743 ,1773 ,4 
1743 ,1773 ,4 
1743 ,1773 ,4 
1743 ,1773 ,4 
1743 ,1773 ,4 
1743 ,1773 ,4 
1743 ,1773 ,4 
1760 ,1779 ,-7 
1760 ,1779 ,-7 
1760 ,1779 ,-7 
1760 ,1779 ,-7 
1760 ,1779 ,-7 
1760 ,1779 ,-7 
1760 ,1779 ,-7 
1760 ,1779 ,-7 
1760 ,1779 ,-7 
1711 ,1718 ,12 
1711 ,1718 ,12 
1711 ,1718 ,12 
1711 ,1718 ,12 
1711 ,1718 ,12 
1711 ,1718 ,12 
1711 ,1718 ,12 
1711 ,1718 ,12 
1707 ,1785 ,15 
1707 ,1785 ,15 
1707 ,1785 ,15 
1707 ,1785 ,15 
1707 ,1785 ,15 
1707 ,1785 ,15 
1707 ,1785 ,15 
1707 ,1785 ,15 
1707 ,1785 ,15 
1743 ,1736 ,18 
1743 ,1736 ,18 
1743 ,1736 ,18 
1743 ,1736 ,18 
1743 ,1736 ,18 
1743 ,1736 ,18 
1743 ,1736 ,18 
1743 ,1736 ,18 
1676 ,1734 ,-6 
1676 ,1734 ,-6 
1676 ,1734 ,-6 
1676 ,1734 ,-6 
1676 ,1734 ,-6 
1676 ,1734 ,-6 
1676 ,1734 ,-6 
1676 ,1734 ,-6 
1705 ,1675 ,12 
1705 ,1675 ,12 
1705 ,1675 ,12 
1705 ,1675 ,12 
1705 ,1675 ,12 
1705 ,1675 ,12 
1705 ,1675 ,12 
1705 ,1675 ,12 
1705 ,1675 ,12 
1691 ,1759 ,14 
1691 ,1759 ,14 
1691 ,1759 ,14 
1691 ,1759 ,14 
1691 ,1759 ,14 
1691 ,1759 ,14 
1691 ,1759 ,14 
1691 ,1759 ,14 
1734 ,1745 ,-7 
1734 ,1745 ,-7 
1734 ,1745 ,-7 
1734 ,1745 ,-7 
1734 ,1745 ,-7 
1734 ,1745 ,-7 
1734 ,1745 ,-7 
1734 ,1745 ,-7 
1672 ,1688 ,-1 
1672 ,1688 ,-1 
1672 ,1688 ,-1 
1672 ,1688 ,-1 
1672 ,1688 ,-1 
1672 ,1688 ,-1 
1672 ,1688 ,-1 
1672 ,1688 ,-1 
1672 ,1688 ,-1 
1697 ,1698 ,2 
1697 ,1698 ,2 
1697 ,1698 ,2 
1697 ,1698 ,2 
1697 ,1698 ,2 
1697 ,1698 ,2 
1697 ,1698 ,2 
1697 ,1698 ,2 
1708 ,1716 ,-4 
1708 ,1716 ,-4 
1708 ,1716 ,-4 
